numer ramki	temp_defekt_sreddnica10mm_glebokosc1mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
379	25.039	25.095	25.072	24.9995	25.0045
380	24.957	25.0986	25.0636	24.9384	25.0944
381	24.9586	25.0607	25.0827	24.9729	25.0347
382	24.9791	25.0676	25.0633	24.9553	25.0386
383	25.0224	25.1234	25.0605	24.9475	25.0263
384	25.0079	25.0814	25.0852	24.9736	25.0823
385	24.9702	25.0913	25.071	24.9607	25.0473
386	24.9778	25.0726	25.1037	24.9927	25.0242
387	24.9937	25.1065	25.0643	24.9596	25.0304
388	24.9782	25.1446	25.0976	24.9721	25.0702
389	25.0086	25.0734	25.0652	24.9695	25.0056
390	24.9595	25.0752	25.0859	24.9783	25.0523
391	24.9848	25.0918	25.0869	24.9524	25.0136
392	24.9937	25.1244	25.0698	24.9395	25.0523
393	25.0554	25.0576	25.0426	24.9805	25.003
394	24.998	25.103	25.1206	24.9799	25.0139
395	24.9752	25.0814	25.0869	24.9428	25.0491
396	25.0244	25.0787	25.0435	24.9826	25.0468
397	24.957	25.0634	25.1204	24.9706	25.0473
398	24.9937	25.0676	25.0809	24.9489	24.9928
399	24.9745	25.1129	25.0926	24.9571	25.0458
400	24.9798	25.0893	25.0787	24.992	25.0597
401	25.0054	25.1118	25.0846	24.9769	25.0458
402	25.017	25.0704	25.0827	24.9309	25.0415
403	24.9921	25.0986	25.0748	24.9393	25.0247
404	24.9843	25.1027	25.128	24.9897	25.0526
405	24.957	25.0814	25.0653	25.0182	25.0991
406	24.9782	25.0923	25.0827	24.9687	25.0668
407	24.9931	25.0902	25.1037	24.9863	25.0054
408	24.9843	25.0866	25.1151	24.9598	25.0714
409	24.9702	25.0913	25.1253	24.9542	25.0281
410	24.957	25.0626	25.0775	25.0028	25.0263
411	24.9791	25.1298	25.1204	24.9899	25.0302
412	25.0086	25.0785	25.1006	24.9396	25.0473
413	24.9998	25.1132	25.0695	24.9783	25.0668
414	25.0554	25.0813	25.0849	24.9665	25.0304
415	25.0128	25.0821	25.0773	24.9805	25.0315
416	25.0224	25.0714	25.1204	24.9536	25.0364
417	24.9837	25.1134	25.0695	24.9687	25.0349
418	24.9702	25.1382	25.0846	24.9661	25.0493
419	24.9686	25.1125	25.0821	24.9902	25.0733
420	24.981	25.0924	25.071	24.9686	25.067
421	24.9778	25.1105	25.0859	24.9605	25.0466
422	24.9937	25.0904	25.0989	24.9384	25.0351
423	25.0349	25.0813	25.0775	24.9482	25.0238
424	25.0349	25.1253	25.1075	24.9961	25.0242
425	24.9937	25.1076	25.0869	24.9687	25.0104
426	24.9942	25.1132	25.0926	24.9476	25.0191
427	24.9937	25.0886	25.1206	24.9679	25.0457
428	24.9625	25.0714	25.0548	24.9502	25.0806
429	24.9904	25.1615	25.0852	24.9477	25.0312
430	24.99	25.0655	25.0849	24.9473	25.0256
431	25.0079	25.0714	25.0773	24.9686	25.0312
432	24.9782	25.0806	25.1044	24.9783	25.003
433	24.9601	25.0926	25.0775	24.9783	25.0102
434	25.0079	25.0876	25.0738	24.9605	25.0386
435	24.9625	25.0923	25.068	24.9643	25.0263
436	24.9921	25.0701	25.0773	24.9536	25.0702
437	24.9615	25.073	25.0494	24.9679	25.0191
438	24.9955	25.094	25.072	24.9605	25.0209
439	24.9921	25.0787	25.0643	24.9695	25.0886
440	25.0217	25.0776	25.0869	24.9272	25.0991
441	24.9921	25.0917	25.1289	24.9539	25.0349
442	24.9623	25.0785	25.0764	24.9475	25.0245
443	24.9791	25.0942	25.0859	24.9483	25.0027
444	24.9801	25.0714	25.0852	24.9519	25.0102
445	24.9791	25.0926	25.0869	24.9607	25.0457
446	24.9952	25.0924	25.1044	24.9441	25.0312
447	24.9997	25.0924	25.0653	24.9863	25.0312
448	24.9873	25.0734	25.0773	24.9783	25.0136
449	24.9769	25.0913	25.0989	24.9428	25.0668
450	24.9637	25.0847	25.0935	24.9473	25.0172
451	24.9791	25.0682	25.0775	24.9591	25.0162
452	24.981	25.0728	25.0748	25.015	25.0473
453	24.999	25.1132	25.1064	24.9652	25.0666
454	24.9889	25.0886	25.0821	24.9277	25.0563
455	24.9778	25.0876	25.0852	24.9995	25.0458
456	24.983	25.0845	25.0927	24.9517	25.0473
457	25.0086	25.0696	25.0773	24.9608	25.0312
458	24.9849	25.1274	25.0695	24.9571	25.0677
459	24.999	25.1235	25.083	24.9431	25.0671
460	24.9541	25.0924	25.0603	24.9903	25.0102
461	24.9782	25.0922	25.1087	24.9896	25.0563
462	24.9769	25.1076	25.0671	24.9401	25.0458
463	25.0244	25.1123	25.0761	24.9736	25.0457
464	24.9786	25.0714	25.1087	24.9515	25.0897
465	24.9791	25.0634	25.06	24.9585	25.0256
466	24.9952	25.1042	25.072	25.0107	25.0523
467	24.9778	25.0821	25.0653	24.9726	25.0473
468	24.9791	25.0752	25.0731	24.9542	25.0263
469	24.9937	25.0942	25.1087	24.9591	25.0466
470	25.0278	25.0865	25.1421	24.9475	25.0991
471	24.9807	25.0939	25.1068	24.9899	25.0944
472	24.9745	25.0752	25.0775	24.955	25.0254
473	25.0245	25.078	25.0859	24.9519	25.0563
474	24.9873	25.0819	25.072	24.965	25.0714
475	24.9688	25.0922	25.061	24.9686	25.0383
476	24.998	25.1346	25.0856	24.9903	25.0458
477	24.9894	25.078	25.0947	25.0206	25.0281
478	24.9786	25.1057	25.1075	24.9796	25.0439
479	25.0101	25.0702	25.0605	24.9817	25.0191
480	24.9947	25.0876	25.0869	24.9805	25.0055
481	25.0278	25.0676	25.1204	24.9571	25.0412
482	24.9937	25.0734	25.0557	24.9591	25.0312
483	24.983	25.1137	25.0787	24.9522	25.0571
484	24.9843	25.0978	25.1073	24.9605	25.0411
485	24.9745	25.0876	25.071	24.9441	25.0523
486	24.9848	25.0913	25.142	24.9721	25.0677
487	24.999	25.1064	25.0686	24.9645	25.0671
488	25.0349	25.0886	25.1044	24.9536	25.0266
489	25.0252	25.0686	25.0643	24.9605	25.0671
490	24.9786	25.0854	25.1304	25.0075	25.0372
491	25.017	25.0714	25.0633	24.97	25.0733
492	25.0554	25.0922	25.0717	24.9464	25.0457
493	24.9801	25.0714	25.1037	24.9608	25.0886
494	25.056	25.1065	25.1075	24.9519	25.0457
495	24.9506	25.0913	25.0869	24.9647	25.0235
496	25.0202	25.0922	25.1151	24.9783	25.0104
497	25.0552	25.095	25.1196	24.9473	25.0677
498	24.9873	25.0728	25.0821	24.9432	25.0523
499	24.9894	25.1087	25.1085	24.9783	25.0263
500	25.0137	25.1274	25.071	24.964	25.0104
501	24.9791	25.113	25.1253	24.9783	25.0576
502	24.9763	25.0645	25.0827	24.9645	25.0083
503	24.9776	25.0844	25.0869	24.9473	25.0102
504	24.983	25.0819	25.0652	24.9554	25.0671
505	25.0128	25.0864	25.083	24.9475	25.0247
506	25.001	25.0652	25.0653	24.9374	25.0267
507	25.0091	25.0503	25.0717	24.9323	24.9979
508	25.0038	25.0923	25.0787	24.9373	25.0459
509	24.9625	25.0996	25.1151	24.9805	25.0386
510	25.0004	25.063	25.0869	24.9736	25.0523
511	24.9889	25.1025	25.0859	24.9872	25.0242
512	25.0143	25.0904	25.0852	24.9685	25.0347
513	24.9849	25.095	25.1136	24.9396	25.0046
514	24.9962	25.0696	25.1037	24.964	25.0403
515	24.9686	25.1148	25.0653	24.9796	25.0383
516	25.0337	25.0682	25.0827	24.9643	25.0595
