numer ramki	temp_defekt_srednica10mm_glebokosc3mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
442	24.892	24.9572	24.971	24.869	24.9016
443	24.8766	24.9758	24.8876	24.8673	24.9369
444	24.9502	24.9522	24.9712	24.8419	24.9263
445	24.8878	25.0287	24.9122	24.8725	24.8977
446	24.8682	24.9991	24.9527	24.8353	24.9402
447	24.8872	24.9548	24.8969	24.8204	24.897
448	24.904	24.9749	24.9069	24.8206	24.8805
449	24.9063	24.9502	24.9386	24.8985	24.9288
450	24.8771	24.9342	24.929	24.8141	24.8766
451	24.8862	25.004	24.8989	24.8419	24.8776
452	24.9279	24.9758	24.9536	24.8018	24.8935
453	24.9075	24.935	24.9242	24.8123	24.9022
454	24.8703	24.9967	24.9307	24.8564	24.9009
455	24.9075	24.9379	24.9083	24.8231	24.9172
456	24.8848	24.9446	24.8941	24.8231	24.9402
457	24.8954	24.997	24.972	24.8128	24.916
458	24.8862	24.9852	24.9497	24.8673	24.8892
459	24.8936	24.9446	24.8947	24.863	24.8723
460	24.9289	24.9548	24.9475	24.8208	24.8985
461	24.8815	24.9548	24.8952	24.8161	24.8638
462	24.902	24.9858	24.929	24.8398	24.8927
463	24.9063	24.9633	24.9329	24.8694	24.8657
464	24.924	24.9858	24.898	24.8398	24.8835
465	24.9075	24.9496	24.9354	24.8479	24.9263
466	24.9006	24.9967	24.9282	24.8419	24.8963
467	24.9289	24.934	24.9075	24.8514	24.8984
468	24.9065	24.9799	24.9514	24.8419	24.8868
469	24.9502	24.9799	24.929	24.8057	24.8905
470	24.8744	24.9758	24.961	24.8089	24.9427
471	24.876	24.9589	24.9357	24.8391	24.9016
472	24.9171	24.9734	24.9402	24.8641	24.9232
473	24.9006	24.9572	24.9122	24.9049	24.8963
474	24.888	24.9914	24.9031	24.8204	24.8858
475	24.8917	24.9914	24.9527	24.8398	24.8868
476	24.8862	24.9591	24.9303	24.8353	24.916
477	24.9075	24.9712	24.9179	24.8776	24.9255
478	24.8878	24.9548	24.9282	24.8312	24.9195
479	24.9005	25.0122	24.9216	24.8093	24.8984
480	24.8862	24.9548	24.9013	24.8514	24.9195
481	24.9391	24.9831	24.965	24.8304	24.9078
482	24.9289	24.9859	24.9911	24.8347	24.9115
483	24.8976	24.9621	24.9475	24.8538	24.8806
484	24.8975	24.9522	24.961	24.869	24.8954
485	24.8964	24.9379	24.9165	24.8625	24.8858
486	24.9162	24.9496	24.9058	24.819	24.9027
487	24.8719	24.9991	24.8803	24.8232	24.9031
488	24.885	24.9548	24.9489	24.8347	24.9193
489	24.8963	24.9705	24.9147	24.8057	24.9244
490	24.8948	24.9807	24.9101	24.8479	24.8775
491	24.9075	24.9591	24.9069	24.8304	24.9078
492	24.9065	25.0122	24.9453	24.8122	24.8892
493	24.8778	25.0122	24.9298	24.855	24.8845
494	24.9716	24.9967	24.9388	24.849	24.9288
495	24.9008	24.9896	24.9594	24.8901	24.8931
496	24.919	24.9726	24.9075	24.8633	24.9022
497	24.8975	24.9379	24.9282	24.8333	24.8984
498	24.8734	24.9914	24.9136	24.8142	24.8846
499	24.8954	25.0122	24.9227	24.8585	24.9255
500	24.9096	24.9967	24.9243	24.8514	24.8986
501	24.9277	24.9831	24.9489	24.8312	24.9398
502	24.9075	24.9518	24.9475	24.8353	24.9022
503	24.9255	24.9991	24.9237	24.8514	24.9244
504	24.9361	24.9695	24.929	24.869	24.9172
505	24.9093	24.9621	24.9572	24.8852	24.9884
506	24.8825	24.9551	24.9268	24.8483	24.899
507	24.8848	24.9327	24.9075	24.8294	24.8835
508	24.9075	24.954	24.9434	24.8279	24.9187
509	24.8846	24.9914	24.9505	24.855	24.9022
510	24.9006	24.9705	24.929	24.8391	24.965
511	24.8918	24.9472	24.9307	24.8339	24.8794
512	24.9245	25.0331	24.9545	24.8564	24.8959
513	24.9089	24.9782	24.899	24.8414	24.9277
514	24.9075	24.9687	24.9444	24.8141	24.8984
515	24.9462	24.9782	24.9128	24.8529	24.8984
516	24.9093	24.9758	24.929	24.8279	24.9016
517	24.903	24.956	24.9182	24.8529	25.0068
