numer ramki	temp_defekt_srednica10mm_glebokosc0,7mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
239	24.8013	24.8702	24.8036	24.8118	24.8481
240	24.8013	24.8803	24.829	24.7461	24.8411
241	24.8126	24.8739	24.7967	24.8126	24.8048
242	24.7932	24.8614	24.7949	24.7733	24.8698
243	24.8261	24.8371	24.8118	24.7646	24.8156
244	24.7862	24.9166	24.8332	24.768	24.8264
245	24.8242	24.9204	24.8141	24.7899	24.8444
246	24.7912	24.857	24.8121	24.7379	24.8548
247	24.8038	24.8716	24.8463	24.7461	24.866
248	24.8086	24.8614	24.8182	24.7302	24.8072
249	24.7778	24.8821	24.8057	24.7978	24.8362
250	24.8087	24.8925	24.8497	24.7463	24.8189
251	24.824	24.8721	24.797	24.7598	24.7941
252	24.779	24.8957	24.8805	24.7513	24.8012
253	24.8261	24.8541	24.8107	24.7513	24.8481
254	24.8168	24.9134	24.8564	24.7742	24.8064
255	24.7786	24.883	24.8129	24.7912	24.8172
256	24.7693	24.8822	24.8401	24.8052	24.8092
257	24.8099	24.8803	24.8128	24.7617	24.8608
258	24.8435	24.8752	24.8381	24.768	24.8098
259	24.8035	24.9012	24.8401	24.7716	24.8189
260	24.7853	24.844	24.8182	24.7994	24.8228
261	24.8262	24.8868	24.8061	24.7716	24.9013
262	24.8351	24.926	24.8125	24.7642	24.8876
263	24.8035	24.8736	24.8064	24.768	24.8444
264	24.7587	24.8634	24.843	24.7617	24.8469
265	24.799	24.8846	24.8339	24.768	24.8171
266	24.8404	24.8656	24.8529	24.7297	24.8333
267	24.7903	24.8787	24.8189	24.7497	24.8387
268	24.8264	24.9086	24.8295	24.7421	24.8288
269	24.8261	24.8533	24.8701	24.7329	24.8127
270	24.8263	24.8348	24.8161	24.7461	24.8411
271	24.7756	24.8871	24.849	24.7451	24.8249
272	24.7579	24.895	24.8189	24.761	24.849
273	24.8126	24.9166	24.8027	24.768	24.8273
274	24.7844	24.8961	24.8391	24.7241	24.8411
275	24.8034	24.8733	24.8363	24.7379	24.884
276	24.8213	24.9166	24.8092	24.761	24.7974
277	24.7959	24.9136	24.7986	24.7684	24.8411
278	24.8034	24.8733	24.8279	24.8337	24.8387
279	24.8053	24.876	24.8141	24.7742	24.8189
280	24.7751	24.9302	24.8136	24.7899	24.8068
281	24.7826	24.8523	24.8117	24.7598	24.8444
